key,value,date
MI,1218,1/1/20
MI,1191,1/1/21
MI,1164,1/1/22
MI,1137,1/1/23
MI,1110,1/1/24
MI,1083,1/1/25
MN,753,1/1/15
MN,767,1/1/16
MN,781,1/1/17
MN,795,1/1/18
MN,809,1/1/19
MN,823,1/1/20
MN,837,1/1/21
MN,851,1/1/22
MN,865,1/1/23
MN,879,1/1/24
MN,893,1/1/25
MS,522,1/1/15
MS,529,1/1/16
MS,536,1/1/17
MS,543,1/1/18
MS,550,1/1/19
MS,557,1/1/20
MS,564,1/1/21
MS,571,1/1/22
MS,578,1/1/23
MS,585,1/1/24
MS,592,1/1/25
MO,759,1/1/15
MO,801,1/1/16
MO,843,1/1/17
MO,885,1/1/18
MO,927,1/1/19
MO,969,1/1/20
MO,1011,1/1/21
MO,1053,1/1/22
MO,1095,1/1/23
MO,1137,1/1/24
MO,1179,1/1/25
MT,161,1/1/15
MT,150,1/1/16
MT,139,1/1/17
MT,128,1/1/18
MT,117,1/1/19
MT,106,1/1/20
MT,95,1/1/21
MT,84,1/1/22
MT,73,1/1/23
MT,62,1/1/24
MT,51,1/1/25
NE,294,1/1/15
NE,302,1/1/16
NE,310,1/1/17
NE,318,1/1/18
NE,326,1/1/19
NE,334,1/1/20
NE,342,1/1/21
NE,350,1/1/22
NE,358,1/1/23
NE,366,1/1/24
NE,374,1/1/25
NV,196,1/1/15
NV,177,1/1/16
NV,158,1/1/17
NV,139,1/1/18
NV,120,1/1/19
NV,101,1/1/20
NV,82,1/1/21
NV,63,1/1/22
NV,44,1/1/23
NV,25,1/1/24
NV,6,1/1/25
NH,225,1/1/15
NH,225,1/1/16
NH,225,1/1/17
NH,225,1/1/18
NH,225,1/1/19
NH,225,1/1/20
NH,225,1/1/21
NH,225,1/1/22
NH,225,1/1/23
NH,225,1/1/24
NH,225,1/1/25
NJ,1971,1/1/15
NJ,1929,1/1/16
NJ,1887,1/1/17
NJ,1845,1/1/18
NJ,1803,1/1/19
NJ,1761,1/1/20
NJ,1719,1/1/21
NJ,1677,1/1/22
NJ,1635,1/1/23
NJ,1593,1/1/24
NJ,1551,1/1/25
NM,207,1/1/15
NM,192,1/1/16
NM,177,1/1/17
NM,162,1/1/18
NM,147,1/1/19
NM,132,1/1/20
NM,117,1/1/21
NM,102,1/1/22
NM,87,1/1/23
NM,72,1/1/24
NM,57,1/1/25
NY,3758,1/1/15
NY,4178,1/1/16
NY,4598,1/1/17
NY,5018,1/1/18
NY,5438,1/1/19
NY,5858,1/1/20
NY,6278,1/1/21
NY,6698,1/1/22
NY,7118,1/1/23
NY,7538,1/1/24
NY,7958,1/1/25
NC,1076,1/1/15
NC,1094,1/1/16
NC,1112,1/1/17
NC,1130,1/1/18
NC,1148,1/1/19
NC,1166,1/1/20
NC,1184,1/1/21
NC,1202,1/1/22
NC,1220,1/1/23
NC,1238,1/1/24
NC,1256,1/1/25
ND,192,1/1/15
ND,179,1/1/16
ND,166,1/1/17
ND,153,1/1/18
ND,140,1/1/19
ND,127,1/1/20
ND,114,1/1/21
ND,101,1/1/22
ND,88,1/1/23
ND,75,1/1/24
ND,62,1/1/25
OH,2398,1/1/15
OH,2320,1/1/16
OH,2242,1/1/17
OH,2164,1/1/18
OH,2086,1/1/19
OH,2008,1/1/20
OH,1930,1/1/21
OH,1852,1/1/22
OH,1774,1/1/23
OH,1696,1/1/24
OH,1618,1/1/25
OK,474,1/1/15
OK,457,1/1/16
OK,440,1/1/17
OK,423,1/1/18
OK,406,1/1/19
OK,389,1/1/20
OK,372,1/1/21
OK,355,1/1/22
OK,338,1/1/23
OK,321,1/1/24
OK,304,1/1/25
OR,228,1/1/15
OR,225,1/1/16
OR,222,1/1/17
OR,219,1/1/18
OR,216,1/1/19
OR,213,1/1/20
OR,210,1/1/21
OR,207,1/1/22
OR,204,1/1/23
OR,201,1/1/24
OR,198,1/1/25
PA,3182,1/1/15
PA,3209,1/1/16
PA,3236,1/1/17
PA,3263,1/1/18
PA,3290,1/1/19
PA,3317,1/1/20
PA,3344,1/1/21
PA,3371,1/1/22
PA,3398,1/1/23
PA,3425,1/1/24
PA,3452,1/1/25
RI,414,1/1/15
RI,415,1/1/16
RI,416,1/1/17
RI,417,1/1/18
RI,418,1/1/19
RI,419,1/1/20
RI,420,1/1/21
RI,421,1/1/22
RI,422,1/1/23
RI,423,1/1/24
RI,424,1/1/25
SC,578,1/1/15
SC,561,1/1/16
SC,544,1/1/17
SC,527,1/1/18
SC,510,1/1/19
SC,493,1/1/20
SC,476,1/1/21
SC,459,1/1/22
SC,442,1/1/23
SC,425,1/1/24
SC,408,1/1/25
SD,155,1/1/15
SD,156,1/1/16
SD,157,1/1/17
SD,158,1/1/18
SD,159,1/1/19
SD,160,1/1/20
SD,161,1/1/21
SD,162,1/1/22
SD,163,1/1/23
SD,164,1/1/24
SD,165,1/1/25
TN,1003,1/1/15
TN,971,1/1/16
TN,939,1/1/17
TN,907,1/1/18
TN,875,1/1/19
TN,843,1/1/20
TN,811,1/1/21
TN,779,1/1/22
TN,747,1/1/23
TN,715,1/1/24
TN,683,1/1/25
TX,2063,1/1/15
TX,2278,1/1/16
TX,2493,1/1/17
TX,2708,1/1/18
TX,2923,1/1/19
TX,3138,1/1/20
TX,3353,1/1/21
TX,3568,1/1/22
TX,3783,1/1/23
TX,3998,1/1/24
TX,4213,1/1/25
UT,142,1/1/15
UT,147,1/1/16
UT,152,1/1/17
UT,157,1/1/18
UT,162,1/1/19
UT,167,1/1/20
UT,172,1/1/21
UT,177,1/1/22
UT,182,1/1/23
UT,187,1/1/24
UT,192,1/1/25
VT,94,1/1/15
VT,96,1/1/16
VT,98,1/1/17
VT,100,1/1/18
VT,102,1/1/19
VT,104,1/1/20
VT,106,1/1/21
VT,108,1/1/22
VT,110,1/1/23
VT,112,1/1/24
VT,114,1/1/25
VA,906,1/1/15
VA,866,1/1/16
VA,826,1/1/17
VA,786,1/1/18
VA,746,1/1/19
VA,706,1/1/20
VA,666,1/1/21
VA,626,1/1/22
VA,586,1/1/23
VA,546,1/1/24
VA,506,1/1/25
WA,445,1/1/15
WA,453,1/1/16
WA,461,1/1/17
WA,469,1/1/18
WA,477,1/1/19
WA,485,1/1/20
WA,493,1/1/21
WA,501,1/1/22
WA,509,1/1/23
WA,517,1/1/24
WA,525,1/1/25
WV,342,1/1/15
WV,368,1/1/16
WV,394,1/1/17
WV,420,1/1/18
WV,446,1/1/19
WV,472,1/1/20
WV,498,1/1/21
WV,524,1/1/22
WV,550,1/1/23
WV,576,1/1/24
WV,602,1/1/25
WI,725,1/1/15
WI,706,1/1/16
WI,687,1/1/17
WI,668,1/1/18
WI,649,1/1/19
WI,630,1/1/20
WI,611,1/1/21
WI,592,1/1/22
WI,573,1/1/23
WI,554,1/1/24
WI,535,1/1/25
WY,79,1/1/15
WY,75,1/1/16
WY,71,1/1/17
WY,67,1/1/18
WY,63,1/1/19
WY,59,1/1/20
WY,55,1/1/21
WY,51,1/1/22
WY,47,1/1/23
WY,43,1/1/24
WY,39,1/1/25
