key,value,date
MA,120,1/1/15
MA,120,1/1/16
MA,120,1/1/17
MA,120,1/1/18
MA,120,1/1/19
MA,120,1/1/20
MA,120,1/1/21
MA,120,1/1/22
MA,120,1/1/23
MA,120,1/1/24
MA,120,1/1/25
MI,180,1/1/15
MI,180,1/1/16
MI,180,1/1/17
MI,180,1/1/18
MI,180,1/1/19
MI,180,1/1/20
MI,180,1/1/21
MI,180,1/1/22
MI,180,1/1/23
MI,180,1/1/24
MI,180,1/1/25
MN,89,1/1/15
MN,91,1/1/16
MN,92,1/1/17
MN,93.67,1/1/18
MN,95.17,1/1/19
MN,96.67,1/1/20
MN,98.17,1/1/21
MN,99.67,1/1/22
MN,101.17,1/1/23
MN,102.67,1/1/24
MN,104.17,1/1/25
MS,51,1/1/15
MS,52,1/1/16
MS,53,1/1/17
MS,54,1/1/18
MS,55,1/1/19
MS,56,1/1/20
MS,57,1/1/21
MS,58,1/1/22
MS,59,1/1/23
MS,60,1/1/24
MS,61,1/1/25
MO,110,1/1/15
MO,110,1/1/16
MO,110,1/1/17
MO,110,1/1/18
MO,110,1/1/19
MO,110,1/1/20
MO,110,1/1/21
MO,110,1/1/22
MO,110,1/1/23
MO,110,1/1/24
MO,110,1/1/25
MT,19,1/1/15
MT,19,1/1/16
MT,20,1/1/17
MT,20.33,1/1/18
MT,20.83,1/1/19
MT,21.33,1/1/20
MT,21.83,1/1/21
MT,22.33,1/1/22
MT,22.83,1/1/23
MT,23.33,1/1/24
MT,23.83,1/1/25
NE,33,1/1/15
NE,33,1/1/16
NE,33,1/1/17
NE,33,1/1/18
NE,33,1/1/19
NE,33,1/1/20
NE,33,1/1/21
NE,33,1/1/22
NE,33,1/1/23
NE,33,1/1/24
NE,33,1/1/25
NV,39,1/1/15
NV,41,1/1/16
NV,43,1/1/17
NV,45,1/1/18
NV,47,1/1/19
NV,49,1/1/20
NV,51,1/1/21
NV,53,1/1/22
NV,55,1/1/23
NV,57,1/1/24
NV,59,1/1/25
NH,22,1/1/15
NH,23,1/1/16
NH,24,1/1/17
NH,25,1/1/18
NH,26,1/1/19
NH,27,1/1/20
NH,28,1/1/21
NH,29,1/1/22
NH,30,1/1/23
NH,31,1/1/24
NH,32,1/1/25
NJ,170,1/1/15
NJ,170,1/1/16
NJ,170,1/1/17
NJ,170,1/1/18
NJ,170,1/1/19
NJ,170,1/1/20
NJ,170,1/1/21
NJ,170,1/1/22
NJ,170,1/1/23
NJ,170,1/1/24
NJ,170,1/1/25
NM,36,1/1/15
NM,37,1/1/16
NM,38,1/1/17
NM,39,1/1/18
NM,40,1/1/19
NM,41,1/1/20
NM,42,1/1/21
NM,43,1/1/22
NM,44,1/1/23
NM,45,1/1/24
NM,46,1/1/25
NY,380,1/1/15
NY,390,1/1/16
NY,390,1/1/17
NY,396.7,1/1/18
NY,401.7,1/1/19
NY,406.7,1/1/20
NY,411.7,1/1/21
NY,416.7,1/1/22
NY,421.7,1/1/23
NY,426.7,1/1/24
NY,431.7,1/1/25
NC,160,1/1/15
NC,160,1/1/16
NC,160,1/1/17
NC,160,1/1/18
NC,160,1/1/19
NC,160,1/1/20
NC,160,1/1/21
NC,160,1/1/22
NC,160,1/1/23
NC,160,1/1/24
NC,160,1/1/25
ND,14,1/1/15
ND,14,1/1/16
ND,14,1/1/17
ND,14,1/1/18
ND,14,1/1/19
ND,14,1/1/20
ND,14,1/1/21
ND,14,1/1/22
ND,14,1/1/23
ND,14,1/1/24
ND,14,1/1/25
OH,210,1/1/15
OH,210,1/1/16
OH,210,1/1/17
OH,210,1/1/18
OH,210,1/1/19
OH,210,1/1/20
OH,210,1/1/21
OH,210,1/1/22
OH,210,1/1/23
OH,210,1/1/24
OH,210,1/1/25
OK,60,1/1/15
OK,62,1/1/16
OK,63,1/1/17
OK,64.67,1/1/18
OK,66.17,1/1/19
OK,67.67,1/1/20
OK,69.17,1/1/21
OK,70.67,1/1/22
OK,72.17,1/1/23
OK,73.67,1/1/24
OK,75.17,1/1/25
OR,60,1/1/15
OR,62,1/1/16
OR,63,1/1/17
OR,64.67,1/1/18
OR,66.17,1/1/19
OR,67.67,1/1/20
OR,69.17,1/1/21
OR,70.67,1/1/22
OR,72.17,1/1/23
OR,73.67,1/1/24
OR,75.17,1/1/25
PA,270,1/1/15
PA,270,1/1/16
PA,270,1/1/17
PA,270,1/1/18
PA,270,1/1/19
PA,270,1/1/20
PA,270,1/1/21
PA,270,1/1/22
PA,270,1/1/23
PA,270,1/1/24
PA,270,1/1/25
RI,22,1/1/15
RI,23,1/1/16
RI,23,1/1/17
RI,23.67,1/1/18
RI,24.17,1/1/19
RI,24.67,1/1/20
RI,25.17,1/1/21
RI,25.67,1/1/22
RI,26.17,1/1/23
RI,26.67,1/1/24
RI,27.17,1/1/25
SC,81,1/1/15
SC,84,1/1/16
SC,86,1/1/17
SC,88.67,1/1/18
SC,91.17,1/1/19
SC,93.67,1/1/20
SC,96.17,1/1/21
SC,98.67,1/1/22
SC,101.17,1/1/23
SC,103.67,1/1/24
SC,106.17,1/1/25
SD,16,1/1/15
SD,17,1/1/16
SD,17,1/1/17
SD,17.67,1/1/18
SD,18.17,1/1/19
SD,18.67,1/1/20
SD,19.17,1/1/21
SD,19.67,1/1/22
SD,20.17,1/1/23
SD,20.67,1/1/24
SD,21.17,1/1/25
TN,110,1/1/15
TN,110,1/1/16
TN,110,1/1/17
TN,110,1/1/18
TN,110,1/1/19
TN,110,1/1/20
TN,110,1/1/21
TN,110,1/1/22
TN,110,1/1/23
TN,110,1/1/24
TN,110,1/1/25
TX,340,1/1/15
TX,350,1/1/16
TX,360,1/1/17
TX,370,1/1/18
TX,380,1/1/19
TX,390,1/1/20
TX,400,1/1/21
